method,epic-monster-hunter-6,arbalester-6,legionary-6,chariot-6,stacks,strikes,marches_played,damage_a_march,silver_a_march,hired_a_march,hired_lost,damage_per_silver,damage_per_hired,campaign_total
Kai's stack (from the extract),16,18,18,8,11,18,,3804567,1550800,60,7,2.4533,63409.45,
TotalStack's stack (from the capture),14,15,16,7,12,20,,3258657,1479500,52,7,2.2025,62666.48,
ours · one march, priority search,16,18,18,8,11,18,,3837194,1566200,60,7,2.4500,63953.23,
ours · 1 march asked,16,18,8,8,10,15,1,3120063,1649000,50,6,1.8921,62401.26,3120063
ours · 2 marches asked,16,18,8,8,10,15,2,3102970,1626300,50,6,1.9080,62059.40,6163652
ours · 3 marches asked,10,15,15,7,11,18,3,3236374,1554900,47,6,2.0814,68859.02,9610522
ours · 4 marches asked,8,6,10,6,11,18,4,2260341,1182400,30,4,1.9117,75344.70,9941270
ours · 5 marches asked,10,10,12,5,11,18,5,2745571,1477700,37,5,1.8580,74204.62,13669422
ours · 6 marches asked,10,10,10,4,11,18,6,2429405,1305200,34,4,1.8613,71453.09,14751040
ours · 7 marches asked,9,10,10,3,11,18,7,2555448,1548300,32,4,1.6505,79857.75,17903195
ours · 8 marches asked,9,10,10,0,10,15,8,2027802,1232100,29,3,1.6458,69924.21,16989546
ours · 9 marches asked,9,10,10,0,10,15,9,2027802,1232100,29,3,1.6458,69924.21,18910028
ours · 10 marches asked,8,10,10,0,10,15,10,1982910,1243600,28,3,1.5945,70818.21,20426485
ours · 11 marches asked,7,9,8,0,10,15,11,1926365,1331800,24,3,1.4464,80265.21,21736625
ours · 12 marches asked,6,8,8,0,10,15,12,1895497,1397700,22,3,1.3562,86158.95,23216125
ours · 13 marches asked,5,7,7,0,10,15,13,1843617,1465800,19,3,1.2578,97032.47,24381745
ours · 14 marches asked,0,6,0,0,8,10,14,666148,590900,6,1,1.1273,111024.67,11469977
ours · 15 marches asked,0,0,5,0,8,10,15,614270,614000,5,1,1.0004,122854.00,11463318
ours · 16 marches asked,0,4,0,0,8,10,16,605348,590900,4,1,1.0245,151337.00,11799073
ours · 17 marches asked,0,3,0,0,8,10,17,624798,650600,3,1,0.9603,208266.00,12670021
ours · 18 marches asked,0,2,2,0,9,12,18,1349156,1516600,4,2,0.8896,337289.00,25115383
ours · 19 marches asked,0,1,1,0,9,12,19,871921,999400,2,2,0.8724,435960.50,17810564
