silver,damage,damage_per_silver,mercs_lost,damage_per_mercenary,thrifty_damage,thrifty_mercs,thrifty_per_mercenary
1776600,4584601,2.5805,23,199330.4783,3707630,8,463453.75
2144000,5208106,2.4292,25,208324.24,3941370,8,492671.25
2482500,5976862,2.4076,22,271675.5455,4404493,8,550561.625
3062500,6820802,2.2272,22,310036.4545,4931013,8,616376.625
3702100,7818522,2.1119,22,355387.3636,5109964,8,638745.5
4406700,9018937,2.0466,23,392127.6957,5945146,9,660571.7778
5277000,10355146,1.9623,25,414205.84,6697342,9,744149.1111
6400500,11777874,1.8401,22,535357.9091,7720136,10,772013.6
7737800,14233316,1.8395,28,508332.7143,9279474,11,843588.5455
9211400,15429878,1.6751,28,551067.0714,10348659,11,940787.1818
10701200,16648892,1.5558,28,594603.2857,11420829,11,1038257.1818
13109800,18132131,1.3831,28,647576.1071,13399691,12,1116640.9167
15973700,20200315,1.2646,31,651623.0645,15584908,14,1113207.7143
19198800,21641534,1.1272,37,584906.3243,18373382,16,1148336.375
22205000,23448430,1.056,40,586210.75,19462433,17,1144849
23917500,23745798,0.9928,43,552227.8605,23260716,20,1163035.8
