marches,total_damage,silver,mercs_lost,damage_per_silver,damage_per_mercenary,delta_damage,delta_silver,marginal_damage_per_silver
1,6562556,3033200,14,2.1636,468754,,,
2,9281042,4787300,20,1.9387,464052.1,2718486,1754100,1.5498
3,11378155,6400800,23,1.7776,494702.3913,2097113,1613500,1.2997
4,13486782,8160900,22,1.6526,613035.5455,2108627,1760100,1.198
5,15683896,9980000,25,1.5715,627355.84,2197114,1819100,1.2078
6,17615930,11883200,28,1.4824,629140.3571,1932034,1903200,1.0152
7,18837077,13328600,31,1.4133,607647.6452,1221147,1445400,0.8449
8,20010075,15206600,28,1.3159,714645.5357,1172998,1878000,0.6246
9,21216361,16987100,31,1.249,684398.7419,1206286,1780500,0.6775
10,22105151,18633000,34,1.1863,650151.5,888790,1645900,0.54
11,22747254,20259200,37,1.1228,614790.6486,642103,1626200,0.3948
12,23405374,22135400,40,1.0574,585134.35,658120,1876200,0.3508
